clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
e1_e299_SLC17A7_L5b_Cdh13,SLC17A7,0.022116583382197217,5.9541965,1.0
e1_e299_SLC17A7_L5b_Cdh13,LINC00508,0.017283520807724256,6.066089,1.0
e1_e299_SLC17A7_L5b_Cdh13,LINC00507,0.015735769574276425,7.643856,0.9825567960739136
e1_e299_SLC17A7_L5b_Cdh13,KIAA1211L,0.02239708174521638,7.592457,0.9648774147033692
e1_e299_SLC17A7_L5b_Cdh13,TESPA1,0.029550056614922753,8.28077,0.9194922049840292
e1_e299_SLC17A7_L5b_Cdh13,SATB2,0.028798247972271294,8.826549,0.8958258072535197
e1_e299_SLC17A7_L5b_Cdh13,NWD2,0.01988333855796979,7.5468946,0.8457431316375732
e1_e299_SLC17A7_L5b_Cdh13,SV2B,0.022667433920229567,8.672425,0.8432793736457824
e1_e299_SLC17A7_L5b_Cdh13,MLIP,0.03317243633031839,9.703903,0.8364764253298441
e1_e299_SLC17A7_L5b_Cdh13,CBLN2,0.032110909358341724,9.686501,0.8257961869239807
g1_g48_GLI3_Astro_Gja1,SLC25A18,0.021092543624831542,7.845149,1.0
g1_g48_GLI3_Astro_Gja1,LINC00498,0.01918865110681995,4.39068,1.0
g1_g48_GLI3_Astro_Gja1,EMX2OS,0.018857675867466638,6.0758257,1.0
g1_g48_GLI3_Astro_Gja1,F3,0.029835892260328033,9.168667,0.985457722345988
g1_g48_GLI3_Astro_Gja1,PAMR1,0.017999990222176007,8.826324,0.9848936716715496
g1_g48_GLI3_Astro_Gja1,RANBP3L,0.028059241543228423,9.281061,0.9748591939608257
g1_g48_GLI3_Astro_Gja1,LINC00499,0.040410409299436,10.225216,0.9739206790924072
g1_g48_GLI3_Astro_Gja1,AQP4,0.028700454616706516,9.976435,0.9707481106122334
g1_g48_GLI3_Astro_Gja1,ATP1A2,0.038843865567300115,9.542015,0.9513942003250122
g1_g48_GLI3_Astro_Gja1,BMPR1B,0.021134313356816217,9.4198065,0.8395527005195618
g2_g27_APBB1IP_Micro_Ctss,INPP5D,0.036070655504068405,9.319673,1.0
g2_g27_APBB1IP_Micro_Ctss,PLCG2,0.032574772970083224,6.2854023,1.0
g2_g27_APBB1IP_Micro_Ctss,CSF2RA,0.032002455230784106,7.499846,1.0
g2_g27_APBB1IP_Micro_Ctss,ADAM28,0.03063444066126057,10.332037,1.0
g2_g27_APBB1IP_Micro_Ctss,FLI1,0.02262935725910459,7.97728,1.0
g2_g27_APBB1IP_Micro_Ctss,CD74,0.02079648563919228,9.296916,1.0
g2_g27_APBB1IP_Micro_Ctss,SYK,0.01954924204234054,7.491853,1.0
g2_g27_APBB1IP_Micro_Ctss,PTPRC,0.019260387971354917,9.0,1.0
g2_g27_APBB1IP_Micro_Ctss,CD53,0.0189052058657476,8.864186,1.0
g2_g27_APBB1IP_Micro_Ctss,CX3CR1,0.015936509737747986,9.303781,1.0
g3_g18_GPNMB_OPC_Pdgfra,GPNMB,0.04324572498853615,10.002554,1.0
g3_g18_GPNMB_OPC_Pdgfra,STK32A,0.021031177123541103,8.613013,1.0
