clusterName,markers
e1_e299_SLC17A7_L5b_Cdh13,SLC17A7
e1_e299_SLC17A7_L5b_Cdh13,CDH13
g1_g48_GLI3_Astro_Gja1,GLI3
g1_g48_GLI3_Astro_Gja1,GJA1
g2_g27_APBB1IP_Micro_Ctss,APBB1IP
g2_g27_APBB1IP_Micro_Ctss,CTSS
g3_g18_GPNMB_OPC_Pdgfra,GPNMB
g3_g18_GPNMB_OPC_Pdgfra,PDGFRA
g4_g9_MOG_Oligo_Opalin,MOG
g4_g9_MOG_Oligo_Opalin,OPALIN
i10_i16_TSPAN12_Vip_Mybpc1,TSPAN12
i10_i16_TSPAN12_Vip_Mybpc1,VIP
i10_i16_TSPAN12_Vip_Mybpc1,MYBPC1
i11_i6_EGF_Vip_Mybpc1,EGF
i11_i6_EGF_Vip_Mybpc1,VIP
i11_i6_EGF_Vip_Mybpc1,MYBPC1
i1_i90_COL5A2_Ndnf_Car4,COL5A2
i1_i90_COL5A2_Ndnf_Car4,NDNF
i1_i90_COL5A2_Ndnf_Car4,CAR4
i2_i77_LHX6_Sst_Cbln4,LHX6
i2_i77_LHX6_Sst_Cbln4,SST
i2_i77_LHX6_Sst_Cbln4,CBLN4
i3_i56_BAGE2_Ndnf_Cxcl14,BAGE2
i3_i56_BAGE2_Ndnf_Cxcl14,NDNF
i3_i56_BAGE2_Ndnf_Cxcl14,CXCL14
i4_i54_MC4R_Ndnf_Cxcl14,MC4R
i4_i54_MC4R_Ndnf_Cxcl14,NDNF
i4_i54_MC4R_Ndnf_Cxcl14,CXCL14
i5_i47_TRPC3_Ndnf_Car4,TRPC3
i5_i47_TRPC3_Ndnf_Car4,NDNF
i5_i47_TRPC3_Ndnf_Car4,CAR4
i6_i44_GPR149_Vip_Mybpc1,GPR149
i6_i44_GPR149_Vip_Mybpc1,VIP
i6_i44_GPR149_Vip_Mybpc1,MYBPC1
i7_i31_CLMP_Ndnf_Cxcl14,CLMP
i7_i31_CLMP_Ndnf_Cxcl14,NDNF
i7_i31_CLMP_Ndnf_Cxcl14,CXCL14
i8_i27_SNCG_Vip_Mybpc1,SNCG
i8_i27_SNCG_Vip_Mybpc1,VIP
i8_i27_SNCG_Vip_Mybpc1,MYBPC1
i9_i22_TAC3_Vip_Mybpc1,TAC3
i9_i22_TAC3_Vip_Mybpc1,VIP
i9_i22_TAC3_Vip_Mybpc1,MYBPC1
