clusterName,onTarget
e1_e299_SLC17A7_L5b_Cdh13,0.4793359
g1_g48_GLI3_Astro_Gja1,0.88232183
g2_g27_APBB1IP_Micro_Ctss,0.7365142
g3_g18_GPNMB_OPC_Pdgfra,0.65699077
g4_g9_MOG_Oligo_Opalin,0.62248677
i10_i16_TSPAN12_Vip_Mybpc1,0.37026674
i11_i6_EGF_Vip_Mybpc1,0.35648748
i1_i90_COL5A2_Ndnf_Car4,0.29902664
i2_i77_LHX6_Sst_Cbln4,0.7958641
i3_i56_BAGE2_Ndnf_Cxcl14,0.28258154
i4_i54_MC4R_Ndnf_Cxcl14,0.39495668
i5_i47_TRPC3_Ndnf_Car4,0.2659594
i6_i44_GPR149_Vip_Mybpc1,0.45543832
i7_i31_CLMP_Ndnf_Cxcl14,0.36428255
i8_i27_SNCG_Vip_Mybpc1,0.4741883
i9_i22_TAC3_Vip_Mybpc1,0.46722335
