software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cluster,e1_e299_SLC17A7_L5b_Cdh13,299,0.9597411933860531,0.978021978021978,0.8929765886287625,566,6,32,267,1,['LINC00507'],"['SLC17A7', 'LINC00508', 'TBR1', 'ANKRD33B', 'NPTX1', 'LINC00507', 'KIAA1211L', 'TESPA1', 'SATB2', 'SV2B']",0.7926141023635864
4.1,cluster,g1_g48_GLI3_Astro_Gja1,48,0.9500000000000001,1.0,0.7916666666666666,823,0,10,38,1,['LINC00498'],"['LINC00498', 'SLC25A18', 'EMX2OS', 'FAM189A2', 'SLC7A11', 'F3', 'RANBP3L', 'LINC00499', 'AQP4', 'ATP1A2']",1.0
4.1,cluster,g2_g27_APBB1IP_Micro_Ctss,27,0.9756097560975611,1.0,0.8888888888888888,844,0,3,24,2,"['ADAM28', 'PTPRC']","['ADAM28', 'PLCG2', 'INPP5D', 'PTPRC', 'CSF2RA', 'P2RY13', 'MS4A14', 'FLI1', 'C1QC', 'ITGAX']",1.0
4.1,cluster,g3_g18_GPNMB_OPC_Pdgfra,18,0.8620689655172413,1.0,0.5555555555555556,853,0,8,10,2,"['GPNMB', 'OLIG2']","['GPNMB', 'COL20A1', 'OLIG2', 'STK32A', 'KLRC3', 'KLRC2', 'COL9A1', 'VCAN_AS1', 'OLIG1', 'APOD']",1.0
4.1,cluster,g4_g9_MOG_Oligo_Opalin,9,1.0,1.0,1.0,862,0,0,9,1,['ST18'],"['ST18', 'MOBP', 'CNDP1', 'MOG', 'CD22', 'FOLH1', 'TF', 'CARNS1', 'PPP1R14A', 'CERCAM']",1.0
4.1,cluster,i10_i16_TSPAN12_Vip_Mybpc1,16,0.8035714285714286,0.9,0.5625,854,1,7,9,2,"['TSPAN12', 'CHRNB3']","['TSPAN12', 'TMC5', 'LINC01539', 'CHRNB3', 'FAM46A', 'ANGPT1', 'DCN', 'HCRTR2', 'FAM196A', 'CRH']",0.7837619781494141
4.1,cluster,i11_i6_EGF_Vip_Mybpc1,6,0.7142857142857143,1.0,0.3333333333333333,865,0,4,2,2,"['EGF', 'FBRSL1']","['EGF', 'FZD8', 'KCNJ2_AS1', 'FBRSL1', 'TEKT1', 'NRG3_AS1', 'FAM133A', 'PARP16', 'CTGLF8P', 'ARHGAP18']",1.0
4.1,cluster,i1_i90_COL5A2_Ndnf_Car4,90,0.9078212290502793,0.9701492537313433,0.7222222222222222,779,2,25,65,2,"['COL5A2', 'BMP6']","['NMBR', 'COL5A2', 'C8ORF4', 'PAPSS2', 'TRPC3', 'BMP6', 'SST', 'CBLN4', 'NPNT', 'NDNF']",0.6425853371620178
4.1,cluster,i2_i77_LHX6_Sst_Cbln4,77,0.8166189111747851,0.8382352941176471,0.7402597402597403,783,11,20,57,1,['LHX6'],"['LHX6', 'FLT3', 'TAC1', 'CALB1', 'RSPO3', 'TRBC2', 'GRIK3', 'CNTNAP3', 'CMTM8', 'SLC27A6']",1.0
4.1,cluster,i3_i56_BAGE2_Ndnf_Cxcl14,56,0.78125,0.9615384615384616,0.44642857142857145,814,1,31,25,2,"['BAGE2', 'SYT10']","['BAGE2', 'SCN5A', 'GREM2', 'FAM19A4', 'SYT10', 'ARHGAP18', 'GRB14', 'PCDH18', 'CD36', 'ADAMTSL1']",0.6023825407028198
4.1,cluster,i4_i54_MC4R_Ndnf_Cxcl14,54,0.8571428571428573,0.9230769230769231,0.6666666666666666,814,3,18,36,2,"['ARHGAP36', 'ADAM33']","['ARHGAP36', 'MC4R', 'COBLL1', 'HLA_B', 'LINC01435', 'ADAM33', 'FAM19A4', 'PGAM1P5', 'CD36', 'BCAS1']",0.710233211517334
4.1,cluster,i5_i47_TRPC3_Ndnf_Car4,47,0.9064327485380117,1.0,0.6595744680851063,824,0,16,31,2,"['NTNG1', 'EYA4']","['SSTR2', 'KIRREL', 'TRPC3', 'NTNG1', 'TARID', 'EYA4', 'CA2', 'TACR1', 'TOX', 'CLSTN2']",0.3804709315299988
4.1,cluster,i6_i44_GPR149_Vip_Mybpc1,44,0.7916666666666666,1.0,0.4318181818181818,827,0,25,19,2,"['FLT1', 'GPR149']","['FLT1', 'PLCE1_AS1', 'CXCL12', 'SLC22A3', 'PLCE1_AS2', 'GPR149', 'SHISA8', 'IGFBP5', 'TAC3', 'NPR3']",0.8115411996841431
4.1,cluster,i7_i31_CLMP_Ndnf_Cxcl14,31,0.9009009009009009,1.0,0.6451612903225806,840,0,11,20,2,"['PAX6', 'TGFBR2']","['KIAA1644', 'FGF10', 'CLMP', 'PAX6', 'SP8', 'TGFBR2', 'WIF1', 'ABCB5', 'HCRTR2', 'GRPR']",0.5478448271751404
4.1,cluster,i8_i27_SNCG_Vip_Mybpc1,27,0.759493670886076,0.9230769230769231,0.4444444444444444,843,1,15,12,2,"['SNCG', 'EDNRA']","['SNCG', 'MMRN2', 'EDNRA', 'FBN3', 'KCNK2', 'RGS2', 'SCML4', 'LYPD1', 'SAMD5', 'ARHGAP18']",1.0
4.1,cluster,i9_i22_TAC3_Vip_Mybpc1,22,0.6896551724137931,0.8888888888888888,0.36363636363636365,848,1,14,8,2,"['BSPRY', 'MCTP2']","['BSPRY', 'OFD1P10Y', 'MCTP2', 'OFD1P8Y', 'OFD1P15Y', 'OFD1P9Y', 'VWC2L_IT1', 'PPP1R12BP1', 'IQGAP2', 'TAC3']",1.0
