clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
e1_e299_SLC17A7_L5b_Cdh13,SLC17A7,0.02638773917020627,5.9541965,1.0
e1_e299_SLC17A7_L5b_Cdh13,LINC00508,0.019131573649275962,6.066089,1.0
e1_e299_SLC17A7_L5b_Cdh13,TBR1,0.019035402501815873,3.4594316,1.0
e1_e299_SLC17A7_L5b_Cdh13,ANKRD33B,0.018455720177896703,5.321928,1.0
e1_e299_SLC17A7_L5b_Cdh13,NPTX1,0.01857380289071883,6.426265,0.9896259069442749
e1_e299_SLC17A7_L5b_Cdh13,LINC00507,0.029293401398361712,7.643856,0.9825567960739136
e1_e299_SLC17A7_L5b_Cdh13,KIAA1211L,0.0251629961510009,7.592457,0.9648774147033692
e1_e299_SLC17A7_L5b_Cdh13,TESPA1,0.04060199484468084,8.28077,0.9194922049840292
e1_e299_SLC17A7_L5b_Cdh13,SATB2,0.02679747443169142,8.826549,0.8958258072535197
e1_e299_SLC17A7_L5b_Cdh13,SV2B,0.03331812246482244,8.672425,0.8432793736457824
g1_g48_GLI3_Astro_Gja1,LINC00498,0.02846542729766015,4.39068,1.0
g1_g48_GLI3_Astro_Gja1,SLC25A18,0.022765259224432358,7.845149,1.0
g1_g48_GLI3_Astro_Gja1,EMX2OS,0.02271902292048607,6.0758257,1.0
g1_g48_GLI3_Astro_Gja1,FAM189A2,0.02180359424322392,7.703866,1.0
g1_g48_GLI3_Astro_Gja1,SLC7A11,0.02076500707197281,8.8567505,0.992472783724467
g1_g48_GLI3_Astro_Gja1,F3,0.03377283521106669,9.168667,0.9854577223459879
g1_g48_GLI3_Astro_Gja1,RANBP3L,0.03590095604397666,9.281061,0.9748591939608257
g1_g48_GLI3_Astro_Gja1,LINC00499,0.04677195918420298,10.225216,0.9739206790924072
g1_g48_GLI3_Astro_Gja1,AQP4,0.02568452231287659,9.976435,0.9707481106122334
g1_g48_GLI3_Astro_Gja1,ATP1A2,0.03034011626137838,9.542015,0.9513942003250122
g2_g27_APBB1IP_Micro_Ctss,ADAM28,0.04279932406858737,10.332037,1.0
g2_g27_APBB1IP_Micro_Ctss,PLCG2,0.028719431192188175,6.2854023,1.0
g2_g27_APBB1IP_Micro_Ctss,INPP5D,0.028244875214226983,9.319673,1.0
g2_g27_APBB1IP_Micro_Ctss,PTPRC,0.02812141138006271,9.0,1.0
g2_g27_APBB1IP_Micro_Ctss,CSF2RA,0.027701782157679187,7.499846,1.0
g2_g27_APBB1IP_Micro_Ctss,P2RY13,0.020415361382552528,8.968667,1.0
g2_g27_APBB1IP_Micro_Ctss,MS4A14,0.018559026734260006,8.027906,1.0
g2_g27_APBB1IP_Micro_Ctss,FLI1,0.018322370494500514,7.97728,1.0
g2_g27_APBB1IP_Micro_Ctss,C1QC,0.0182602082570549,5.83289,1.0
g2_g27_APBB1IP_Micro_Ctss,ITGAX,0.016391637316155956,7.748193,1.0
g3_g18_GPNMB_OPC_Pdgfra,GPNMB,0.04797669418469337,10.002554,1.0
g3_g18_GPNMB_OPC_Pdgfra,COL20A1,0.028938061436936748,6.0998363,1.0
g3_g18_GPNMB_OPC_Pdgfra,OLIG2,0.02885668395457449,4.2459264,1.0
g3_g18_GPNMB_OPC_Pdgfra,STK32A,0.026267611611161257,8.613013,1.0
g3_g18_GPNMB_OPC_Pdgfra,KLRC3,0.02205158338176844,3.5276413,1.0
g3_g18_GPNMB_OPC_Pdgfra,KLRC2,0.021991217958086267,2.660964,1.0
g3_g18_GPNMB_OPC_Pdgfra,COL9A1,0.024760129681554582,9.067429,0.9829284350077311
g3_g18_GPNMB_OPC_Pdgfra,VCAN_AS1,0.03420814550937748,9.258543,0.9489843209584554
g3_g18_GPNMB_OPC_Pdgfra,OLIG1,0.030076214997641897,6.4772797,0.9456005970637004
g3_g18_GPNMB_OPC_Pdgfra,APOD,0.020404424188341277,8.201473,0.9333333333333333
